,Schauen,Vordetachur,Waschen,Nachdetachur,Finish,gesamt
0,5.0,7.0,7.0,0.0,3.5,22.5
1,5.0,7.0,7.0,6.0,3.5,28.5
2,5.0,0.0,7.0,0.0,3.5,15.5
3,5.0,0.0,7.0,6.0,3.5,21.5
4,5.0,7.0,7.0,6.0,3.5,28.5
5,5.0,0.0,7.5,0.0,3.5,16.0
6,5.0,7.0,7.5,0.0,3.5,23.0
7,5.0,7.0,7.5,0.0,3.5,23.0
8,5.0,0.0,7.5,0.0,3.5,16.0
9,5.0,0.0,7.5,6.0,3.5,22.0
10,5.0,0.0,7.5,0.0,3.5,16.0
11,5.0,0.0,7.5,6.0,3.5,22.0
12,5.0,7.0,8.0,0.0,3.5,23.5
13,5.0,7.0,8.0,6.0,3.5,29.5
14,5.0,0.0,8.0,6.0,3.5,22.5
15,5.0,0.0,8.0,6.0,3.5,22.5
16,5.0,0.0,8.0,6.0,3.5,22.5
17,5.0,0.0,8.0,0.0,3.5,16.5
18,5.0,0.0,8.5,6.0,3.5,23.0
19,5.0,0.0,8.5,0.0,3.5,17.0
20,5.0,0.0,8.5,6.0,3.5,23.0
21,5.0,0.0,8.5,6.0,3.5,23.0
22,5.0,0.0,9.0,0.0,3.5,17.5
23,5.0,0.0,9.0,0.0,3.5,17.5
24,5.0,0.0,9.0,0.0,3.5,17.5
25,5.0,0.0,9.5,0.0,3.5,18.0
26,5.0,0.0,9.5,0.0,3.5,18.0
27,5.0,7.0,9.5,0.0,3.5,25.0
28,5.0,7.0,9.5,0.0,3.5,25.0
29,5.0,0.0,9.5,6.0,3.5,24.0
30,5.0,0.0,9.5,0.0,3.5,18.0
31,5.0,0.0,10.0,6.0,3.5,24.5
32,5.0,0.0,10.0,0.0,3.5,18.5
33,5.0,0.0,10.0,0.0,3.5,18.5
34,5.0,7.0,10.0,0.0,3.5,25.5
35,5.0,0.0,10.5,6.0,3.5,25.0
36,5.0,0.0,10.5,6.0,3.5,25.0
37,5.0,0.0,10.5,6.0,3.5,25.0
38,5.0,0.0,10.5,0.0,3.5,19.0
39,5.0,7.0,10.5,6.0,3.5,32.0
40,5.0,7.0,11.0,0.0,3.5,26.5
41,5.0,7.0,11.0,6.0,3.5,32.5
42,5.0,0.0,12.0,0.0,3.5,20.5
43,5.0,7.0,12.0,6.0,3.5,33.5
44,5.0,0.0,12.0,6.0,3.5,26.5
45,5.0,0.0,12.0,6.0,3.5,26.5
46,5.0,0.0,12.0,6.0,3.5,26.5
47,5.0,7.0,12.0,0.0,3.5,27.5
48,5.0,7.0,12.5,6.0,3.5,34.0
49,5.0,7.0,12.5,0.0,3.5,28.0
